"observation.id","group_sex","first.five.activity","group_size"
709,"All Male","Forage",2
710,"All Male","Forage",1
711,"All Female","Travel",1
712,"All Female","Forage",1
713,"All Female","Forage",1
714,"All Female","Travel",1
715,"All Male","Travel",1
716,"All Female","Rest",2
717,"All Female","Forage",1
718,"All Female","Forage",1
719,"All Male","Rest",1
720,"All Male","Forage",2
721,"All Male","Forage",1
722,"All Male","Travel",3
723,"All Female","Rest",1
724,"All Male","Rest",2
725,"All Female","Forage",1
726,"All Male","Forage",1
727,"All Female","Forage",1
728,"All Female","Forage",1
729,"All Female","Rest",1
730,"All Female","Forage",1
731,"All Female","Forage",2
732,"All Female","Forage",1
733,"All Female","Forage",2
734,"Mixed","Rest",2
735,"All Female","Other",2
736,"All Female","Forage",1
737,"All Female","Forage",1
738,"All Male","Forage",1
739,"Mixed","Travel",1
740,"All Male","Travel",1
741,"All Female","Forage",1
742,"All Female","Forage",1
743,"All Female","Travel",1
744,"All Female","Forage",1
745,"All Female","Forage",1
746,"Mixed","Travel",3
747,"All Female","Forage",1
748,"All Female","Travel",1
749,"All Female","Forage",1
750,"All Female","Forage",1
751,"All Female","Forage",1
752,"All Female","Forage",1
753,"All Male","Travel",1
754,"Mixed","Travel",1
755,"All Female","Travel",1
756,"All Female","Forage",1
757,"All Female","Forage",1
758,"All Female","Forage",1
759,"All Female","Forage",1
760,"All Female","Forage",1
761,"All Female","Forage",1
762,"All Male","Forage",1
763,"All Female","Forage",1
764,"All Male","Forage",1
765,"All Female","Forage",1
766,"All Female","Forage",2
767,"All Female","Forage",1
768,"All Female","Other",1
769,"All Female","Forage",1
770,"All Female","Forage",1
771,"All Female","Forage",1
772,"All Female","Other",1
773,"All Male","Forage",1
774,"All Female","Travel",2
775,"All Female","Travel",3
776,"All Female","Other",2
777,"All Female","Forage",1
778,"All Male","Forage",1
779,"All Female","Forage",1
780,"Mixed","Forage",2
781,"All Female","Forage",1
782,"All Male","Other",1
783,"All Male","Travel",1
784,"All Male","Travel",1
785,"All Male","Forage",1
786,"All Female","Travel",1
787,"All Female","Forage",1
788,"All Female","Other",1
789,"All Female","Forage",1
790,"All Male","Forage",1
791,"All Male","Forage",1
792,"Mixed","Travel",2
793,"Mixed","Forage",2
794,"All Female","Other",2
795,"All Female","Forage",1
796,"All Female","Travel",1
797,"All Female","Forage",1
798,"Mixed","Forage",1
799,"All Female","Forage",1
800,"All Female","Forage",1
801,"All Female","Other",1
802,"Mixed","Forage",1
803,"All Female","Other",2
804,"Mixed","Forage",2
805,"All Female","Forage",1
806,"All Female","Forage",1
807,"Mixed","Forage",2
808,"Mixed","Rest",5
809,"All Female","Forage",1
810,"All Female","Forage",1
811,"All Female","Other",1
812,"All Male","Forage",1
813,"All Female","Forage",1
814,"All Female","Forage",1
815,"All Male","Forage",1
816,"All Female","Forage",1
817,"All Female","Forage",1
818,"All Male","Forage",1
819,"Mixed","Travel",5
820,"All Female","Forage",1
821,"All Female","Forage",1
822,"All Female","Forage",1
823,"All Female","Forage",1
824,"All Female","Forage",1
825,"All Female","Forage",1
826,"All Female","Other",1
827,"Mixed","Travel",1
828,"All Female","Forage",1
829,"All Male","Forage",1
830,"All Female","Forage",1
